LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	No
X_Columns	One
Time_Pref	Relative
Operator	testuser
Date	2019/10/14
Time	15:12:00.171875
***End_of_Header***	
	
Channels	25																									
Samples	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	
Date	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	2019/10/14	
Time	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	16:23:47.4375	
X_Dimension	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	
***End_of_Header***																										
X_Value	FRF Magnitude 1	FRF Magnitude 2	FRF Magnitude 3	FRF Phase 1	FRF Phase 2	FRF Phase 3	Coherence 1	Coherence 2	Coherence 3	Response Function FFT (Mag) 1	Response Function FFT (Mag) 2	Response Function FFT (Mag) 3	Response Function FFT (Phase) 1	Response Function FFT (Phase) 2	Response Function FFT (Phase) 3	Transmissibility Magnitude 1	Transmissibility Magnitude 2	Transmissibility Phase 1	Transmissibility Phase 2	Bode Amplitude Ratio 1	Bode Amplitude Ratio 2	Bode Amplitude Ratio 3	Bode Phase 1	Bode Phase 2	Bode Phase 3	Comment
0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.188185	0.000000	0.000000	3.141593	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
0.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004074	0.000000	0.000000	2.634778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
0.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003259	0.000000	0.000000	3.134438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
0.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003688	0.000000	0.000000	2.830984	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
0.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006298	0.000000	0.000000	2.970415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
0.500000	1.120527	0.000000	0.000000	-0.056770	0.000000	0.000000	1.000000	NaN	NaN	5.140129	0.000000	0.000000	-1.625995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.988444	-Inf	-Inf	-3.252661	0.000000	0.000000
0.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003791	0.000000	0.000000	2.018072	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
0.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001861	0.000000	0.000000	2.007814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
0.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003042	0.000000	0.000000	1.925800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
0.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001967	0.000000	0.000000	2.483040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
1.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.069686	0.000000	0.000000	0.272668	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
1.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001836	0.000000	0.000000	2.313000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
